iter	Passed	Remaining
1283	18079	24162
1284	18093	24148
1285	18107	24133
1286	18120	24118
1287	18134	24104
1288	18149	24090
1289	18163	24076
1290	18177	24063
1291	18191	24049
1292	18207	24036
1293	18221	24022
1294	18234	24007
1295	18247	23992
1296	18261	23977
1297	18274	23962
1298	18287	23947
1299	18300	23931
1300	18315	23918
1301	18328	23903
1302	18342	23888
1303	18355	23873
1304	18369	23858
1305	18382	23843
1306	18395	23828
1307	18410	23815
1308	18424	23801
1309	18437	23786
1310	18451	23771
1311	18464	23755
1312	18476	23739
1313	18492	23728
1314	18505	23712
1315	18518	23697
1316	18531	23681
1317	18544	23666
1318	18557	23650
1319	18571	23636
1320	18585	23621
1321	18598	23606
1322	18612	23592
1323	18625	23576
1324	18638	23561
1325	18653	23549
1326	18666	23533
1327	18679	23518
1328	18692	23503
1329	18705	23487
1330	18718	23472
1331	18733	23458
1332	18746	23443
1333	18759	23427
1334	18772	23412
1335	18785	23397
1336	18798	23382
1337	18812	23367
1338	18825	23352
1339	18838	23337
1340	18851	23321
1341	18864	23306
1342	18877	23291
1343	18890	23275
1344	18903	23260
1345	18917	23245
1346	18930	23230
1347	18942	23215
1348	18955	23199
1349	18969	23184
1350	18982	23169
1351	18995	23154
1352	19009	23139
1353	19022	23124
1354	19035	23109
1355	19049	23095
1356	19062	23080
1357	19075	23065
1358	19089	23050
1359	19102	23035
1360	19115	23019
1361	19128	23005
1362	19142	22990
1363	19155	22975
1364	19169	22961
1365	19183	22947
1366	19197	22933
1367	19211	22919
1368	19225	22904
1369	19238	22890
1370	19253	22876
1371	19267	22862
1372	19281	22848
1373	19295	22834
1374	19310	22821
1375	19324	22807
1376	19337	22792
1377	19351	22778
1378	19367	22766
1379	19380	22751
1380	19393	22736
1381	19406	22720
1382	19420	22706
1383	19434	22692
1384	19447	22677
1385	19461	22662
1386	19474	22647
1387	19487	22632
1388	19501	22617
1389	19514	22603
1390	19528	22589
1391	19542	22575
1392	19556	22561
1393	19570	22546
1394	19584	22532
1395	19597	22517
1396	19610	22502
1397	19623	22487
1398	19637	22472
1399	19651	22458
1400	19664	22444
1401	19678	22429
1402	19691	22413
1403	19703	22398
1404	19717	22383
1405	19730	22368
1406	19745	22355
1407	19760	22342
1408	19773	22327
1409	19787	22313
1410	19801	22299
1411	19814	22283
1412	19827	22268
1413	19840	22253
1414	19853	22238
1415	19867	22224
1416	19880	22209
1417	19893	22194
1418	19907	22179
1419	19920	22164
1420	19934	22150
1421	19948	22137
1422	19963	22124
1423	19977	22109
1424	19990	22094
1425	20003	22079
1426	20018	22066
1427	20031	22051
1428	20045	22037
1429	20059	22023
1430	20073	22009
1431	20086	21994
1432	20100	21980
1433	20114	21966
1434	20127	21951
1435	20141	21937
1436	20155	21923
1437	20171	21910
1438	20185	21896
1439	20199	21882
1440	20213	21869
1441	20228	21855
1442	20243	21842
1443	20256	21828
1444	20272	21816
1445	20287	21802
1446	20303	21790
1447	20317	21776
1448	20330	21762
1449	20344	21748
1450	20358	21733
1451	20372	21719
1452	20386	21704
1453	20400	21690
1454	20414	21676
1455	20427	21662
1456	20441	21648
1457	20456	21634
1458	20469	21620
1459	20483	21606
1460	20500	21594
1461	20514	21581
1462	20528	21566
1463	20542	21553
1464	20557	21539
1465	20570	21524
1466	20584	21510
1467	20598	21496
1468	20612	21482
1469	20627	21469
1470	20642	21456
1471	20656	21441
1472	20669	21427
1473	20683	21413
1474	20697	21398
1475	20710	21384
1476	20723	21369
1477	20737	21354
1478	20750	21340
1479	20765	21326
1480	20779	21312
1481	20793	21298
1482	20806	21283
1483	20821	21270
1484	20834	21255
1485	20850	21243
1486	20864	21229
1487	20878	21215
1488	20891	21200
1489	20906	21186
1490	20919	21171
1491	20932	21157
1492	20945	21142
1493	20958	21127
1494	20971	21112
1495	20984	21096
1496	20997	21082
1497	21010	21066
1498	21023	21051
1499	21036	21036
1500	21049	21021
1501	21062	21006
1502	21075	20991
1503	21089	20977
1504	21103	20963
1505	21117	20948
1506	21130	20934
1507	21143	20919
1508	21156	20904
1509	21172	20891
1510	21185	20877
1511	21199	20862
1512	21212	20847
1513	21225	20832
1514	21238	20817
1515	21251	20803
1516	21266	20789
1517	21280	20775
1518	21294	20761
1519	21308	20747
1520	21321	20732
1521	21334	20718
1522	21348	20703
1523	21361	20688
1524	21374	20674
1525	21388	20659
1526	21401	20644
1527	21414	20629
1528	21427	20614
1529	21440	20599
1530	21454	20585
1531	21468	20571
1532	21481	20556
1533	21494	20541
1534	21507	20526
1535	21520	20511
1536	21534	20497
1537	21547	20482
1538	21560	20467
1539	21572	20452
1540	21585	20437
1541	21598	20422
1542	21611	20407
1543	21624	20391
1544	21637	20377
1545	21650	20362
1546	21663	20347
1547	21676	20332
1548	21689	20317
1549	21702	20302
1550	21715	20287
1551	21728	20272
1552	21741	20257
1553	21754	20242
1554	21767	20227
1555	21781	20213
1556	21794	20198
1557	21808	20184
1558	21821	20169
1559	21834	20155
1560	21848	20140
1561	21861	20125
1562	21873	20110
1563	21887	20095
1564	21899	20080
1565	21913	20066
1566	21926	20051
1567	21939	20036
1568	21952	20021
1569	21965	20006
1570	21978	19991
1571	21991	19976
1572	22006	19963
1573	22019	19949
1574	22032	19934
1575	22046	19919
1576	22062	19908
1577	22076	19894
1578	22091	19880
1579	22104	19866
1580	22119	19853
1581	22137	19842
1582	22151	19828
1583	22165	19814
1584	22179	19800
1585	22193	19786
1586	22207	19772
1587	22223	19760
1588	22237	19746
1589	22251	19732
1590	22266	19718
1591	22281	19705
1592	22295	19692
1593	22312	19680
1594	22326	19667
1595	22341	19653
1596	22355	19639
1597	22369	19625
1598	22382	19610
1599	22395	19596
1600	22409	19582
1601	22424	19568
1602	22438	19554
1603	22451	19539
1604	22464	19525
1605	22477	19510
1606	22490	19495
1607	22504	19481
1608	22517	19466
1609	22530	19451
1610	22546	19439
1611	22559	19424
1612	22573	19410
1613	22589	19398
1614	22602	19383
1615	22615	19368
1616	22629	19354
1617	22641	19339
1618	22656	19325
1619	22669	19310
1620	22682	19296
1621	22697	19282
1622	22711	19268
1623	22724	19254
1624	22738	19240
1625	22751	19225
1626	22764	19210
1627	22778	19196
1628	22791	19181
1629	22803	19166
1630	22816	19151
1631	22829	19136
1632	22842	19121
1633	22856	19107
1634	22869	19093
1635	22882	19078
1636	22896	19064
1637	22910	19050
1638	22924	19035
1639	22937	19021
1640	22951	19007
1641	22965	18993
1642	22981	18980
1643	22996	18967
1644	23011	18954
1645	23025	18940
1646	23039	18927
1647	23053	18912
1648	23067	18898
1649	23081	18884
1650	23095	18870
1651	23109	18856
1652	23124	18844
1653	23143	18833
1654	23159	18821
1655	23178	18811
1656	23197	18801
1657	23217	18792
1658	23235	18781
1659	23265	18780
1660	23304	18787
1661	23338	18788
